Index,Rank_x,Previous Rank,Name,Country/Territory,Region_x,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,Type,State,City,Zip,Region_y,isPublic,Institution_Control,Photo,Rank_y,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
nan,nan,nan,gannon university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,PA,Erie,16541.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/c1b10ae/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F1e%2F76553ef78e2163cfa452b87cc072d0%2Fcollege-photo_17085.jpg,244.0,20.0,nan,77.0,39496.0,3.6,2.6,nan,2920.0,nan,1040.0,nan,1040-1270,20-28,"Gannon University is a private institution that was founded in 1925. It has a total undergraduate enrollment of 2,920 (fall 2023), its setting is urban, and the campus size is 63 acres. It utilizes a semester-based academic calendar. Gannon University's ranking in the 2025 edition of Best Colleges is National Universities, #244. Its tuition and fees are $39,496."
nan,nan,nan,gardner-webb university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,NC,Boiling Springs,28017.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/44628bc/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Fca%2F81%2F4278ba794972bc1eb3c0f0b05966%2Fgwu-hero-img-4-1920x760-1.png,388.0,20.0,nan,75.0,34705.0,3.7,nan,nan,1841.0,nan,1035.0,nan,1035-1265,20-26,"Gardner-Webb University is a private institution that was founded in 1905. It has a total undergraduate enrollment of 1,841 (fall 2023), its setting is rural, and the campus size is 240 acres. It utilizes a semester-based academic calendar. Gardner-Webb University's ranking in the 2025 edition of Best Colleges is National Universities, #388. Its tuition and fees are $34,705."
910.0,901-950,901-950,gazi üniversitesi,Türkiye,Asia,XL,FC,HI,Public,23.7,533,24.4,551,9.8,801+,7.6,801+,1.2,801+,7.5,801+,13.1,801+,61.2,676,28.9,576,55.6,589=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
811.0,801-850,801-850,gdansk university of technology,Poland,Europe,L,FO,VH,Public,12.0,701+,24.1,560,31.8,603,25.5,630,6.9,801+,7.8,801+,12.7,801+,70.0,531,4.0,801+,64.0,422=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1032.0,1001-1200,1001-1200,gebze technical university,Türkiye,Asia,M,CO,VH,Public,7.0,701+,9.5,701+,9.1,801+,40.3,463,19.7,718,10.6,801+,15.3,801+,41.4,801+,2.5,801+,42.2,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,geneva college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-north,PA,Beaver Falls,15010.0,north,True,private,https://www.usnews.com/dims4/USNEWS/b29260f/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F82%2F76ee622cad4f5ac465c1a6d3945aab%2Fcollege-photo_24726.jpg,84.0,nan,nan,80.0,33450.0,3.6,2.5,nan,1177.0,nan,nan,nan,nan,nan,"Geneva College is a private institution that was founded in 1848. It has a total undergraduate enrollment of 1,177 (fall 2023), its setting is suburban, and the campus size is 110 acres. It utilizes a semester-based academic calendar. Geneva College's ranking in the 2025 edition of Best Colleges is Regional Universities North, #84. Its tuition and fees are $33,450."
243.0,243,252,georg-august-universität göttingen,Germany,Europe,L,FC,VH,Public,57.3,190,35.6,405,87.0,122,25.8,626,59.2,395,37.9,517,43.4,479,95.2,80,51.2,334,61.0,480=,51.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,george fox university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,OR,Newberg,97132.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/d001337/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F15%2F56%2Fc9611fa048dbae490e261a51fa49%2F210331.jpg,273.0,17.0,nan,96.0,42750.0,3.7,2.8,nan,2554.0,nan,1070.0,nan,1070-1330,17-28,"George Fox University is a private institution that was founded in 1891. It has a total undergraduate enrollment of 2,554 (fall 2023), its setting is suburban, and the campus size is 108 acres. It utilizes a semester-based academic calendar. George Fox University's ranking in the 2025 edition of Best Colleges is National Universities, #273. Its tuition and fees are $42,750."
962.0,951-1000,1001-1200,george mason university,United States of America,Americas,L,CO,VH,Public,12.0,701+,11.6,701+,17.1,801+,18.0,753,15.6,790,17.1,778,12.9,801+,67.6,575,17.4,776,56.1,578,-,national-universities,VA,Fairfax,22030.0,nan,True,public,https://www.usnews.com/dims4/USNEWS/bb2abd6/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2Ff8%2F47%2F07e00593485bbd98b85fafdd36ac%2F1-masonpond.jpg,109.0,25.0,31.0,89.0,38688.0,3.7,2.6,nan,27666.0,3.1,1140.0,47516.0,1140-1340,25-30,"George Mason University is a public institution that was founded in 1972. It has a total undergraduate enrollment of 27,666 (fall 2023), and the campus size is 817 acres. It utilizes a semester-based academic calendar. George Mason University's ranking in the 2025 edition of Best Colleges is National Universities, #109. Its in-state tuition and fees are $14,220; out-of-state tuition and fees are $38,688."
358.0,358,371,george washington university,United States of America,Americas,L,FC,VH,Private not for Profit,31.7,389,45.8,297,30.3,628,43.4,436,13.0,801+,39.2,498,44.7,466,78.7,373,85.8,133,60.0,502=,41.1,national-universities,DC,Washington,20052.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/41e3b5b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F93%2F742265d75c507c9b4d74c460544823%2Fcollege-photo_25925.jpg,63.0,31.0,42.0,44.0,67710.0,nan,2.8,nan,11387.0,3.5,1350.0,46591.0,1350-1498,31-34,"George Washington University is a private institution that was founded in 1821. It has a total undergraduate enrollment of 11,387 (fall 2023), and the campus size is 43 acres. It utilizes a semester-based academic calendar. George Washington University's ranking in the 2025 edition of Best Colleges is National Universities, #63. Its tuition and fees are $67,710."
nan,nan,nan,georgetown college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-liberal-arts-colleges,KY,Georgetown,40324.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/5388666/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F19%2Fb724d5de8fb21ced8ae46f74b78163%2Fcollege-photo_20479.jpg,178.0,18.0,nan,74.0,42840.0,3.4,nan,nan,1200.0,nan,990.0,nan,990-1180,18-24,"Georgetown College is a private institution that was founded in 1829. It has a total undergraduate enrollment of 1,200 (fall 2023), its setting is suburban, and the campus size is 104 acres. It utilizes a semester-based academic calendar. Georgetown College's ranking in the 2025 edition of Best Colleges is National Liberal Arts Colleges, #178. Its tuition and fees are $42,840."
285.0,285,301,georgetown university,United States of America,Americas,L,FC,VH,Private not for Profit,38.2,312,60.6,190,74.2,203,21.7,689,22.8,677,51.1,401,55.8,366,67.4,581,96.0,67,69.1,329=,47,national-universities,DC,Washington,20057.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/a1d85ff/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F12%2Fc35d6d7be388e893723c293388c519%2Fcollege-photo_27270.jpg,24.0,32.0,28.0,13.0,68016.0,nan,nan,nan,7968.0,4.0,1390.0,36128.0,1390-1550,32-34,"Georgetown University is a private institution that was founded in 1789. It has a total undergraduate enrollment of 7,968 (fall 2023), its setting is urban, and the campus size is 104 acres. It utilizes a semester-based academic calendar. Georgetown University's ranking in the 2025 edition of Best Colleges is National Universities, #24. Its tuition and fees are $68,016."
nan,nan,nan,georgia college & state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-south,GA,Milledgeville,31061.0,south,True,public,https://www.usnews.com/dims4/USNEWS/20cd19a/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F95%2F68bcf3bc45e80a9e7e3389e3481f07%2Fcollege-photo_34441.jpg,15.0,21.0,24.0,88.0,29512.0,3.5,nan,nan,5681.0,2.3,1060.0,44353.0,1060-1240,21-26,"Georgia College & State University is a public institution that was founded in 1889. It has a total undergraduate enrollment of 5,681 (fall 2023), its setting is city, and the campus size is 693 acres. It utilizes a semester-based academic calendar. Georgia College & State University's ranking in the 2025 edition of Best Colleges is Regional Universities South, #15. Its in-state tuition and fees are $9,186; out-of-state tuition and fees are $29,512."
